Date,Timestamp,,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2020-08-11,19:26,EDT),20,Cycling,Beginner,20 min Beginner Ride,2019-12-07 10:00 (EDT),94,78,34%,81,22.93,7.64,323,162.59,,
2020-08-13,20:23,EDT),20,Cycling,Beginner,20 min Beginner Ride,2019-11-13 16:16 (EDT),77,70,35%,74,22.08,6.97,242,144.35,,
2020-08-13,20:45,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-06-08 10:00 (EDT),19,62,29%,86,21.05,1.75,71,149.99,,
2020-08-13,20:52,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-30 10:00 (EDT),,,,,,,60,136.52,,
2020-08-14,18:37,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-31 09:00 (EDT),21,71,36%,74,22.32,1.87,62,139.09,,
2020-08-14,18:44,EDT),20,Cycling,Low Impact,20 min Low Impact Ride,2019-11-21 05:22 (EDT),98,82,36%,77,23.82,7.93,340,167.97,,
2020-08-14,19:07,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-11 04:45 (EDT),,,,,,,67,144.98,,
2020-08-18,19:22,EDT),30,Cycling,Music,30 min Pop Ride,2019-11-27 12:20 (EDT),146,83,39%,72,23.63,11.41,436,164.26,,
2020-08-18,19:54,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-08-16 10:45 (EDT),19,64,34%,72,21.03,1.74,69,148.82,,
2020-08-18,20:01,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-23 04:25 (EDT),,,,,,,68,146.98,,
2020-08-20,19:57,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-07-20 09:00 (EDT),19,64,30%,83,21.16,1.75,47,119.95,,
2020-08-20,20:05,EDT),20,Cycling,Beginner,20 min Beginner Ride,2019-12-19 16:00 (EDT),82,79,39%,67,23.4,7.11,239,150.43,,
2020-08-20,20:27,EDT),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-08-12 09:00 (EDT),18,59,29%,86,20.7,1.72,56,130.7,,
2020-08-20,20:33,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-08-14 09:00 (EDT),,,,,,,37,134.39,,
2020-08-26,19:54,EDT),15,Cycling,Music,15 min Pop Ride,2019-12-20 13:00 (EDT),75,85,39%,74,23.48,5.75,224,157.07,,
2020-08-28,21:24,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-08-25 07:30 (EDT),23,78,34%,83,23.38,1.95,53,127.42,,
2020-08-28,21:32,EDT),20,Cycling,Beginner,20 min Beginner Ride,2020-06-18 16:00 (EDT),105,88,36%,82,24.4,8.13,265,159.17,,
2020-08-28,21:54,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-22 10:00 (EDT),,,,,,,59,134.77,,
2020-09-03,19:53,EDT),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-08-24 09:00 (EDT),22,74,33%,79,22.1,1.83,50,123.78,,
2020-09-03,20:00,EDT),20,Cycling,Beginner,20 min Beginner Ride,2020-08-17 01:30 (EDT),69,84,36%,77,23.95,6,215,160.27,,
2020-09-03,20:22,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-08-23 10:35 (EDT),,,,,,,61,137.56,,
2020-09-06,12:45,EDT),20,Cycling,Music,20 min 90s Ride,2020-09-06 12:35 (EDT),97,81,37%,75,23.24,7.74,306,164.03,,
2020-09-06,13:08,EDT),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-17 09:00 (EDT),,,,,,,66,143.45,,
2020-09-13,16:41,EDT),30,Cycling,Beginner,30 min Advanced Beginner Ride,2020-07-13 10:00 (EDT),150,83,36%,79,23.72,11.84,440,153.15,,
2020-09-13,17:14,EDT),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2020-09-05 07:05 (EDT),38,64,35%,71,21.44,3.56,145,152.47,,
